max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.073,52.6
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.073,51.4
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.808,53.9
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.808,53.1
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.073,51.5
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.073,51.8
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.808,56.1
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.808,53.7
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.543,55.8
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.543,54.6
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.808,60.1
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.808,59.6
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.543,56.8
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.543,93.1
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.808,96.0
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.808,95.9
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.279,98.5
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.279,111.3
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.279,132.4
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.279,140.1
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.279,143.4
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.279,164.2
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.279,179.0
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.279,127.1
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.206,103.0
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.206,108.7
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.073,109.7
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.073,101.3
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.206,92.5
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.206,91.1
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.073,100.9
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.073,98.0
