max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.098,46.2
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.098,46.3
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.84,47.3
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.84,47.8
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.098,47.4
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.708,1.811,2.076,1.512,6.098,46.2
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.84,47.1
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.946,1.829,2.076,1.512,7.84,48.3
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.582,48.7
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.582,48.7
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.84,50.1
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.84,50.3
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.582,49.2
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.518,2.527,2.076,1.512,9.582,48.9
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.84,50.6
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.837,2.703,2.076,1.512,7.84,51.2
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.324,50.2
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.324,50.6
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.324,52.1
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.324,51.9
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.324,50.5
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.647,1.761,2.076,1.512,11.324,51.0
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.324,52.3
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.625,1.715,2.076,1.512,11.324,52.4
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.226,51.2
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.226,52.2
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.098,54.9
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.098,53.7
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.226,52.3
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.153,2.212,2.076,1.512,5.226,52.1
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.098,1299.5
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.222,2.478,2.076,1.512,6.098,357.1
