,mjd,rv_all_mean,rv_err_all_mean,rv_selection_mean,rv_err_selection_mean,rv_ccf,rv_ccf_err
0,59332.18979662097,2.5351235008629622,0.7841900813728725,3.3933806589939124,0.7945448403815312,0.23600000000000063,175.0
1,59332.1973869507,2.3826330288772617,0.7819841237000088,2.768600211132622,0.7915369064660971,2.688000000000006,175.0
2,59332.20001099256,1.6752629802912118,0.7840034483562225,2.079285038968905,0.7936091269673224,1.513000000000002,175.0
3,59334.23456564217,-0.39030929487138266,0.7639121540503535,-0.3624633148184344,0.773298930818023,0.6290000000000013,173.0
4,59334.23710295649,0.5770608037561544,0.7628931547795463,0.4835353320482625,0.7726031821153287,1.765000000000004,173.0
5,59334.23960011637,1.8580495675827429,0.762784629253758,2.043474772542197,0.7725018799282424,2.2020000000000017,173.0
6,59335.32603469535,-1.7397759472916015,0.7905667893798485,-1.0381756315989392,0.7983706980668593,-2.782999999999998,175.0
7,59335.33086804764,0.3663072862708141,0.7895350742932201,0.14508044530261088,0.7969587021061193,-1.7589999999999972,175.0
8,59335.33327239004,-0.2135365567436942,0.7913059405641893,-0.13403690383881894,0.7988718829587004,-3.2029999999999994,175.0
9,59336.17331545332,0.18388723440653365,0.764728717811854,0.7919392858225649,0.7789782965338203,0.013999999999999346,172.0
10,59336.17569188026,-1.5587323802972328,0.7628050832059939,-0.9011772674340435,0.7761825748243657,-1.5109999999999992,172.0
11,59336.18179622616,-2.5549729741606235,0.7640266940102349,-1.9526925199049572,0.776367833060954,-1.849999999999998,172.0
12,59337.23344922855,-0.14973213807247276,0.7791242257988186,-0.05796101585559654,0.7877952459427042,0.42300000000000537,175.0
13,59337.2359314002,-0.21224017025805608,0.7799617655799272,-0.5398022125510096,0.7890004028242595,0.5880000000000045,175.0
14,59337.24422116203,0.7835682603731406,0.7818179850574047,0.8143271377931214,0.7909230673431291,1.530000000000005,175.0
15,59338.18823923401,-0.9670716588932606,0.810430537524521,-0.4914837489181423,0.8222069620429486,-1.4289999999999983,182.0
16,59338.19073185555,-0.4810596436382433,0.8104929684704522,0.12732965127303686,0.8216358278709132,-0.8739999999999988,181.0
17,59338.19324955342,-0.832234910133117,0.8116949802156749,-0.3867058215957542,0.8221615376138235,-0.9830000000000005,182.0
18,59339.26485140014,-0.4482898622558764,0.7828849467397291,-0.34763108970284406,0.7921570046273537,-0.013999999999999346,179.0
19,59339.27473456365,-1.1475314333160007,0.7838442948384726,-0.9474085503532379,0.7928635054982484,1.3850000000000018,179.0
20,59339.34505873776,2.9809621659056766,0.7845954408487332,2.888848702425747,0.7920841026433464,0.7930000000000028,179.0
21,59341.20567374954,-1.7088171272165198,0.7687298100029305,-1.2711062774807118,0.7796204736665204,-2.5759999999999974,179.0
22,59341.21367809966,-2.40606807292286,0.7669975815750693,-2.146886996522376,0.7768412724358282,-3.438999999999996,178.0
23,59341.21630215596,-1.539638039550539,0.768088813685719,-1.121724986706937,0.777868577775538,-3.7199999999999953,178.0
24,59342.21308496406,1.956470586967729,0.7674960474835347,2.4256226987283185,0.7795610013076242,2.480000000000001,177.0
