max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.639,1.541,2.076,1.512,6.101,51.8
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.639,1.541,2.076,1.512,6.101,49.7
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.684,1.608,2.076,1.512,6.101,53.4
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.684,1.608,2.076,1.512,6.101,53.0
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.639,1.541,2.076,1.512,6.101,50.7
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.639,1.541,2.076,1.512,6.101,50.7
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.684,1.608,2.076,1.512,6.101,53.1
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,2.684,1.608,2.076,1.512,6.101,53.2
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.31,2.015,2.076,1.512,9.588,55.4
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.31,2.015,2.076,1.512,9.588,55.2
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.646,2.327,2.076,1.512,9.588,58.9
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.646,2.327,2.076,1.512,9.588,58.5
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.31,2.015,2.076,1.512,9.588,55.0
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.31,2.015,2.076,1.512,9.588,55.3
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.646,2.327,2.076,1.512,9.588,58.0
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.646,2.327,2.076,1.512,9.588,58.8
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.215,2.079,2.076,1.512,11.331,58.9
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.215,2.079,2.076,1.512,11.331,58.2
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.163,1.818,2.076,1.512,11.331,62.7
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.163,1.818,2.076,1.512,11.331,62.2
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.215,2.079,2.076,1.512,11.331,58.4
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.215,2.079,2.076,1.512,11.331,58.6
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.163,1.818,2.076,1.512,11.331,62.7
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.163,1.818,2.076,1.512,11.331,62.9
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.32,2.263,2.076,1.512,8.716,62.1
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.32,2.263,2.076,1.512,8.716,61.5
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.423,2.217,2.076,1.512,8.716,67.7
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.423,2.217,2.076,1.512,8.716,66.4
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,3.32,2.263,2.076,1.512,8.716,61.7
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,3.32,2.263,2.076,1.512,8.716,61.6
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,3.423,2.217,2.076,1.512,8.716,66.2
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,3.423,2.217,2.076,1.512,8.716,66.9
