max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,0.972,0.43,2.406,2.76,3.583,3.6
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.436,0.751,2.406,2.76,3.583,3.2
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.92,0.646,2.406,2.76,3.583,3.3
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.519,0.536,2.406,2.76,3.583,3.5
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,0.963,0.418,2.406,2.76,3.583,3.1
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.569,1.064,2.406,2.76,3.583,3.3
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.95,0.816,2.406,2.76,3.583,3.5
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.663,0.955,2.406,2.76,3.583,3.4
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.956,1.399,2.406,2.76,4.479,3.3
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.977,1.975,2.406,2.76,4.479,3.4
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.897,1.073,2.406,2.76,4.479,3.7
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.741,1.63,2.406,2.76,4.479,3.7
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.994,1.501,2.406,2.76,4.479,3.5
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.061,2.198,2.406,2.76,4.479,3.9
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.968,1.357,2.406,2.76,4.479,3.7
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.859,1.378,2.406,2.76,4.479,3.9
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.738,1.369,2.406,2.76,15.23,3.7
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.094,1.637,2.406,2.76,14.334,3.7
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.407,0.885,2.406,2.76,14.334,3.9
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.564,0.569,2.406,2.76,3.583,4.1
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.788,1.498,2.406,2.76,15.23,3.9
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.11,1.776,2.406,2.76,14.334,3.9
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.487,1.174,2.406,2.76,14.334,3.9
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.606,1.794,2.406,2.76,15.23,4.1
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,0.929,0.605,2.406,2.76,3.583,3.9
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,0.568,0.248,2.406,2.76,3.583,3.8
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.373,0.769,2.406,2.76,3.583,4.3
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.353,1.122,2.406,2.76,3.583,4.2
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,0.927,0.827,2.406,2.76,3.583,3.8
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,0.653,0.183,2.406,2.76,3.583,4.0
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.413,1.024,2.406,2.76,3.583,4.3
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.441,0.941,2.406,2.76,3.583,4.1
