,mjd,rv_0,rv_err_0,rv_1,rv_err_1,rv_2,rv_err_2,rv_3,rv_err_3,rv_4,rv_err_4,rv_5,rv_err_5,rv_6,rv_err_6,rv_7,rv_err_7,rv_8,rv_err_8,rv_9,rv_err_9,rv_10,rv_err_10,rv_11,rv_err_11,rv_12,rv_err_12,rv_13,rv_err_13,rv_14,rv_err_14,rv_15,rv_err_15,rv_16,rv_err_16,rv_17,rv_err_17,rv_18,rv_err_18,rv_19,rv_err_19,rv_20,rv_err_20,rv_21,rv_err_21,rv_22,rv_err_22,rv_23,rv_err_23,rv_24,rv_err_24,rv_25,rv_err_25,rv_26,rv_err_26,rv_27,rv_err_27,rv_28,rv_err_28,rv_29,rv_err_29,rv_30,rv_err_30,rv_31,rv_err_31
2,59332.84709834492,-1.6344954531460303,0.4444504775562016,-1.9289436622420908,0.4542192147739185,-2.1569821961962816,0.3943174190318439,-2.8410087524471237,0.4176458250002025,-1.6344954531460303,0.4444504775562016,-1.9289436622420908,0.4542192147739185,-2.1569821961962816,0.3943174190318439,-2.8410087524471237,0.4176458250002025,-1.9337634662980463,0.44182882449717986,-1.9666462929313866,0.45381433675873056,-1.9169490888754694,0.39187426570343153,-1.8520779319534313,0.41926848635586095,-1.9337634662980463,0.44182882449717986,-1.9666462929313866,0.45381433675873056,-1.9169490888754694,0.39187426570343153,-1.8520779319534313,0.41926848635586095,-2.1213147743208083,0.4434690917201905,-1.4808024536170592,0.449139673505432,-1.9893844942491228,0.39321026841444984,-2.4649917404006487,0.4140675144020728,-2.1213147743208083,0.4434690917201905,-1.4808024536170592,0.449139673505432,-1.9893844942491228,0.39321026841444984,-2.4649917404006487,0.4140675144020728,-1.9117838619951044,0.4498816628401107,-2.14520886970962,0.4483111178236965,-2.1585868280278646,0.3993823970562917,-3.046021038943877,0.41371026639936387,-1.9117838619951044,0.4498816628401107,-2.14520886970962,0.4483111178236965,-2.1585868280278646,0.3993823970562917,-3.046021038943877,0.41371026639936387
3,59334.86095706464,-0.4589405298667657,0.4262773347063864,-0.7428345056511034,0.4358757043381242,-0.4736778878593668,0.37804505143748135,-0.9710576986358319,0.4006802992956168,-0.4589405298667657,0.4262773347063864,-0.7428345056511034,0.4358757043381242,-0.4736778878593668,0.37804505143748135,-0.9710576986358319,0.4006802992956168,-0.7111304710703052,0.4228886449017976,-0.5728080767686947,0.43471461519346644,-0.2824863084170488,0.3750122713644398,0.0,0.4015127928292121,-0.7111304710703052,0.4228886449017976,-0.5728080767686947,0.43471461519346644,-0.2824863084170488,0.3750122713644398,0.0,0.4015127928292121,-0.9995058113987056,0.4248454046356816,-0.5405541670498337,0.4303580673999312,-0.6429592264534563,0.3764614548428057,-1.2392458986102497,0.39643522970447087,-0.9995058113987056,0.4248454046356816,-0.5405541670498337,0.4303580673999312,-0.6429592264534563,0.3764614548428057,-1.2392458986102497,0.39643522970447087,-0.7975332603319316,0.43203858747024315,-1.3248475426705113,0.43048730232775984,-0.612164656092034,0.38348315246899023,-1.391985509245501,0.39709783446353,-0.7975332603319316,0.43203858747024315,-1.3248475426705113,0.43048730232775984,-0.612164656092034,0.38348315246899023,-1.391985509245501,0.39709783446353
4,59334.86851344488,-1.0706743832867005,0.425943081382437,-0.915972556536417,0.43550459411348863,-1.070659886360943,0.37783311735300756,-1.2329516118052766,0.40040893664003735,-1.0706743832867005,0.425943081382437,-0.915972556536417,0.43550459411348863,-1.070659886360943,0.37783311735300756,-1.2329516118052766,0.40040893664003735,-1.3811576351910162,0.42211789785165876,-0.8628898312143178,0.4341311890103826,-1.1508000901356468,0.3744159230981599,-0.4609644614041031,0.40096673065905897,-1.3811576351910162,0.42211789785165876,-0.8628898312143178,0.4341311890103826,-1.1508000901356468,0.3744159230981599,-0.4609644614041031,0.40096673065905897,-1.1029530205183846,0.424449857182402,-0.5632595574890615,0.4299151499768317,-0.9218946443033929,0.3759997538054961,-1.207636924139365,0.395875170493849,-1.1029530205183846,0.424449857182402,-0.5632595574890615,0.4299151499768317,-0.9218946443033929,0.3759997538054961,-1.207636924139365,0.395875170493849,-1.2382859667952175,0.4322202624600582,-1.4214957749500172,0.43043146739967914,-1.1912155012377639,0.38372120485205624,-1.4118849273003207,0.39705111672068827,-1.2382859667952175,0.4322202624600582,-1.4214957749500172,0.43043146739967914,-1.1912155012377639,0.38372120485205624,-1.4118849273003207,0.39705111672068827
5,59334.87227523464,-1.4043764568691017,0.42566832483099165,-1.1809659945054705,0.4351157823827543,-1.7718221149314104,0.3775301561141334,-1.6862053272194544,0.400040310991527,-1.4043764568691017,0.42566832483099165,-1.1809659945054705,0.4351157823827543,-1.7718221149314104,0.3775301561141334,-1.6862053272194544,0.400040310991527,-1.4207392804361234,0.42150019441873304,-0.8529434716848527,0.43355237530171736,-1.681064787582386,0.37380913943311694,-0.8451425500914524,0.40035404743591413,-1.4207392804361234,0.42150019441873304,-0.8529434716848527,0.43355237530171736,-1.681064787582386,0.37380913943311694,-0.8451425500914524,0.40035404743591413,-1.4716984016169476,0.4241452250739722,-0.8883541146195171,0.4295477386261495,-1.7353540539170922,0.3756570056016694,-1.7131475961383558,0.39547504004226647,-1.4716984016169476,0.4241452250739722,-0.8883541146195171,0.4295477386261495,-1.7353540539170922,0.3756570056016694,-1.7131475961383558,0.39547504004226647,-1.8336883070900853,0.4320392761300444,-2.0734465750681466,0.430277405038044,-1.9756538579409266,0.38361815329771487,-1.82797656770515,0.3969493427908748,-1.8336883070900853,0.4320392761300444,-2.0734465750681466,0.430277405038044,-1.9756538579409266,0.38361815329771487,-1.82797656770515,0.3969493427908748
6,59336.94687469488,-2.2572353507188723,0.41715101643462443,-1.2225493953876025,0.4263881615642278,-0.7813699395271669,0.36987568298573076,-0.32246706131525116,0.39196931899127785,-2.2572353507188723,0.41715101643462443,-1.2225493953876025,0.4263881615642278,-0.7813699395271669,0.36987568298573076,-0.32246706131525116,0.39196931899127785,-2.302870229184748,0.4135480838450194,-1.0651823467659938,0.42674659781744584,-1.3217571280131324,0.3658095770204889,-0.9894038108774339,0.392368368648036,-2.302870229184748,0.4135480838450194,-1.0651823467659938,0.42674659781744584,-1.3217571280131324,0.3658095770204889,-0.9894038108774339,0.392368368648036,-1.444411998024293,0.4225913595912752,-0.6407535374090685,0.4266328800180052,-1.097944772308665,0.37453663747816995,-0.9096289540004818,0.39246809144610656,-1.444411998024293,0.4225913595912752,-0.6407535374090685,0.4266328800180052,-1.097944772308665,0.37453663747816995,-0.9096289540004818,0.39246809144610656,-1.086339646720262,0.43220102139086564,0.0,0.430006879201705,-0.9066550685660104,0.3850072799439823,-0.029672496380726443,0.3979689568752258,-1.086339646720262,0.43220102139086564,0.0,0.430006879201705,-0.9066550685660104,0.3850072799439823,-0.029672496380726443,0.3979689568752258
7,59336.95814620468,-1.7097732585484096,0.41549369479544146,-0.6145911989515298,0.4248070339068482,0.0,0.368251602447392,0.43137817483983554,0.3902265487214091,-1.7097732585484096,0.41549369479544146,-0.6145911989515298,0.4248070339068482,0.0,0.368251602447392,0.43137817483983554,0.3902265487214091,-1.587755070492733,0.4128187674408707,-0.7487430462147131,0.4257676533759492,-0.6966041579250941,0.3650123948994286,-0.5596177446151955,0.39103067839505556,-1.587755070492733,0.4128187674408707,-0.7487430462147131,0.4257676533759492,-0.6966041579250941,0.3650123948994286,-0.5596177446151955,0.39103067839505556,0.0,0.42257810418512437,0.5316234570347547,0.42648685860272734,0.0,0.37471741331907116,0.0,0.39237950113713443,0.0,0.42257810418512437,0.5316234570347547,0.42648685860272734,0.0,0.37471741331907116,0.0,0.39237950113713443,0.0,0.4319274430869758,0.6379690986002515,0.4296890693551919,0.0,0.38478573168005625,0.46496260029533687,0.397666477914632,0.0,0.4319274430869758,0.6379690986002515,0.4296890693551919,0.0,0.38478573168005625,0.46496260029533687,0.397666477914632
8,59336.96191046478,-0.22487812200245116,0.4159592666521173,0.46044450343686094,0.4253318310693939,1.16075017640145,0.3685606480191133,1.141076663319211,0.39064128305276746,-0.22487812200245116,0.4159592666521173,0.46044450343686094,0.4253318310693939,1.16075017640145,0.3685606480191133,1.141076663319211,0.39064128305276746,-0.42770688639916443,0.41354123407432963,0.48441542524659553,0.42639030045134146,0.16230416336293274,0.365633654618649,0.17198619589737518,0.3916193338288452,-0.42770688639916443,0.41354123407432963,0.48441542524659553,0.42639030045134146,0.16230416336293274,0.365633654618649,0.17198619589737518,0.3916193338288452,1.2466172698715923,0.42355223026153094,2.206886906869613,0.42751909298552276,0.7678101391784367,0.3756076051313346,1.0931225717581015,0.39341909008294706,1.2466172698715923,0.42355223026153094,2.206886906869613,0.42751909298552276,0.7678101391784367,0.3756076051313346,1.0931225717581015,0.39341909008294706,1.0154082394245734,0.4327289789700551,2.046572492236521,0.4305302291853169,0.5520444021149729,0.38551440663135,1.4197600490296622,0.39856768131447834,1.0154082394245734,0.4327289789700551,2.046572492236521,0.4305302291853169,0.5520444021149729,0.38551440663135,1.4197600490296622,0.39856768131447834
9,59337.83669163471,-2.514152412721785,0.4286056884734985,-2.7902253745946837,0.4378788154820641,-2.665462245658375,0.3802159679924324,-3.44309820333865,0.4024101816366729,-2.514152412721785,0.4286056884734985,-2.7902253745946837,0.4378788154820641,-2.665462245658375,0.3802159679924324,-3.44309820333865,0.4024101816366729,-2.7115467916360103,0.42765809075569045,-3.182858777028912,0.438548975914728,-2.2095450453036847,0.37917779995066164,-2.5770893590386095,0.4051449709603218,-2.7115467916360103,0.42765809075569045,-3.182858777028912,0.438548975914728,-2.2095450453036847,0.37917779995066164,-2.5770893590386095,0.4051449709603218,-3.28211979232384,0.4292618288654805,-3.2532323136294394,0.43423312543487613,-1.950388485509393,0.3809009166695701,-2.998621281793419,0.4006829293859412,-3.28211979232384,0.4292618288654805,-3.2532323136294394,0.43423312543487613,-1.950388485509393,0.3809009166695701,-2.998621281793419,0.4006829293859412,-2.7437938370326833,0.43329468179369574,-3.5510627424511654,0.4321441293676119,-2.2938036108670303,0.38459038833476544,-3.468258340914872,0.39877769747936637,-2.7437938370326833,0.43329468179369574,-3.5510627424511654,0.4321441293676119,-2.2938036108670303,0.38459038833476544,-3.468258340914872,0.39877769747936637
10,59337.8442165246,-1.7234212747383708,0.4266757868670632,-2.0593996564236363,0.4359786656087084,-2.071094479815713,0.3785334745534571,-2.6225175228335047,0.40082939887773644,-1.7234212747383708,0.4266757868670632,-2.0593996564236363,0.4359786656087084,-2.071094479815713,0.3785334745534571,-2.6225175228335047,0.40082939887773644,-1.9370396116058828,0.4253028089664038,-2.406971637595518,0.43636993168082877,-1.6674992740109928,0.3770809356879356,-1.7812162441546775,0.40318380504357726,-1.9370396116058828,0.4253028089664038,-2.406971637595518,0.43636993168082877,-1.6674992740109928,0.3770809356879356,-1.7812162441546775,0.40318380504357726,-2.4110808343826307,0.42669784974663194,-2.214429511920173,0.4318001391386957,-1.8145170007998672,0.3785433767080812,-2.4123557223394982,0.398385838683448,-2.4110808343826307,0.42669784974663194,-2.214429511920173,0.4318001391386957,-1.8145170007998672,0.3785433767080812,-2.4123557223394982,0.398385838683448,-2.482892700918285,0.4313587284871094,-3.2911143111863908,0.4301235606108573,-2.1495098376267947,0.3828877801251293,-2.868273978542561,0.3969061010089531,-2.482892700918285,0.4313587284871094,-3.2911143111863908,0.4301235606108573,-2.1495098376267947,0.3828877801251293,-2.868273978542561,0.3969061010089531
11,59337.85172511449,-1.932671103542134,0.42568297674655625,-2.615915844059316,0.43507145860741714,-1.864471784126863,0.37768229067021003,-2.8758088864967704,0.4000280560904197,-1.932671103542134,0.42568297674655625,-2.615915844059316,0.43507145860741714,-1.864471784126863,0.37768229067021003,-2.8758088864967704,0.4000280560904197,-1.9541700421896735,0.4236556180852645,-2.5956571355358733,0.4348577933893615,-1.382386481328524,0.3757462594629576,-1.8466051138394164,0.4018826553669582,-1.9541700421896735,0.4236556180852645,-2.5956571355358733,0.4348577933893615,-1.382386481328524,0.3757462594629576,-1.8466051138394164,0.4018826553669582,-2.4223101886235554,0.42521190928160263,-2.6079157030221722,0.4304617988170467,-1.8723497092539105,0.3771775611410533,-2.8746258324414953,0.39702453845938546,-2.4223101886235554,0.42521190928160263,-2.6079157030221722,0.4304617988170467,-1.8723497092539105,0.3771775611410533,-2.8746258324414953,0.39702453845938546,-2.896361175772711,0.43059516291045324,-3.8461009946745435,0.4291955650597168,-2.408794718737397,0.38220529331448033,-3.4639667563279204,0.39597966278230307,-2.896361175772711,0.43059516291045324,-3.8461009946745435,0.4291955650597168,-2.408794718737397,0.38220529331448033,-3.4639667563279204,0.39597966278230307
