,mjd,rv_all_mean,rv_err_all_mean,rv_selection_mean,rv_err_selection_mean,rv_ccf,rv_ccf_err
1,59332.83957601476,-3.617633495993662,0.4301863689567777,-3.4695084899749347,0.436246127557146,-2.626999999999953,160.0
2,59332.84709834492,-2.096810056584623,0.426786927614936,-1.9261925374171085,0.43279814142812306,-1.5399999999999636,162.0
3,59334.86095706464,-0.7351082218825837,0.40913835921124614,-0.6135449629682199,0.4149112223973069,-0.26900000000000546,170.0
4,59334.86851344488,-1.0752935482917465,0.40881159081245566,-0.9071794424373323,0.4146135927574719,-0.7200000000000273,170.0
5,59334.87227523464,-1.5226612160885296,0.4084549698443514,-1.347975093933293,0.41425370048124205,-1.3619999999999663,170.0
6,59336.94687469488,-1.0236401084499818,0.4040793695782616,-1.0566550720074162,0.410809038306501,-2.244000000000028,172.0
7,59336.95814620468,-0.24069694662359353,0.4033524358289566,-0.17391606659333547,0.41026261456897595,-0.41200000000003456,172.0
8,59336.96191046478,0.8297883868591427,0.4040698041455682,0.8632016352550025,0.4110329724161717,0.47500000000002296,172.0
9,59337.83669163471,-2.8522036633651595,0.412095386781086,-2.759188943753074,0.4179817129319377,-1.926000000000045,168.0
10,59337.8442165246,-2.244583349930906,0.4100411363621635,-2.165002177977698,0.4158525345673452,-1.94399999999996,169.0
11,59337.85172511449,-2.4662569668732672,0.4089036625115742,-2.408238698605544,0.4146829541035466,-1.978000000000065,170.0
12,59338.90074269471,-3.963193768288999,0.4053806639125437,-3.8221002493606377,0.41127159583821515,-4.803999999999974,172.0
13,59338.90824570458,-3.5721435176113836,0.4045059908590933,-3.6436200946248363,0.4104014211721846,-2.705000000000041,172.0
14,59338.91200421469,-2.3558804180038813,0.4043268219168802,-2.4966686070229613,0.41029789686501755,-2.618000000000052,172.0
15,59339.83131924456,0.9146896489859628,0.41540993776473734,1.0099781950762008,0.42144469140462526,1.860000000000014,166.0
16,59339.83505799479,0.8817410256702622,0.414768743542299,0.7925562036347955,0.4207527474568691,2.033999999999992,167.0
17,59339.83884120451,1.5981684789479011,0.41371778866145476,1.582090127049689,0.419672929114049,1.706999999999994,167.0
18,59341.87888340464,-2.63669467192922,0.40661708778791705,-2.5606535273468296,0.41232455895040254,-1.3780000000000427,171.0
19,59341.88264742491,-2.2064003165967527,0.40656881249787,-2.102073460527528,0.41233134294191576,-0.8350000000000364,171.0
20,59341.8864105148,-2.7626178382716766,0.4059480623999218,-2.7150279878621575,0.4116323690945068,-2.808999999999969,171.0
21,59342.82707479454,1.5252464217128008,0.4155114623755274,1.491228104094553,0.4217721262007528,2.41599999999994,166.0
22,59342.83459529465,2.1319450025745823,0.41265993801468265,2.1769116215851625,0.418828904842774,2.955000000000041,167.0
23,59342.83837487453,1.7970747942906087,0.41164677350157497,1.9372619750359803,0.4177666204723605,1.6040000000000418,168.0
24,59343.86399452479,-1.1860201621016273,0.4059712021875052,-1.2129106298231846,0.41180904397003393,-2.019999999999982,171.0
25,59343.87152502451,-0.46104679391892844,0.4052620101255386,-0.427481563070657,0.4110109986627985,-0.9279999999999973,171.0
26,59343.87528589459,-1.5278848888903447,0.40546561131459347,-1.24807607975999,0.41120473310062855,-0.31500000000005457,172.0
27,59348.95134647468,1.2858759100909545,0.4396803032516554,1.2779444763244854,0.44610376972754606,0.591000000000008,157.0
